des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.929078109642862859e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.903846780650617770e-02,1.538494797167661151e-03,1.478316329448102484e-01,3.811296670278640164e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.807693561301235541e-02,5.943918721414248076e-03,2.838569668746322994e-01,3.693515230914417469e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.711540341951853311e-02,1.290118107185516533e-02,4.073433509526133145e-01,3.575733791550194773e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.615387122602471082e-02,2.209519114760582006e-02,5.175581343419004554e-01,3.457952352185972078e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.519233903253088158e-02,3.321085824778161055e-02,6.137686662056409670e-01,3.340170912821749383e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.142308068390370662e-01,4.593309167149795674e-02,6.952422957069819276e-01,3.222389473457526687e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.332692746455432509e-01,5.994680071787025777e-02,7.612463720090705266e-01,3.104608034093303992e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.523077424520494216e-01,7.493689468601390236e-02,8.110482442750541754e-01,2.986826594729081297e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.713462102585555924e-01,9.058828287504430699e-02,8.439152616680797303e-01,2.869045155364858601e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.903846780650617632e-01,1.065858745840768673e-01,8.591147733512946028e-01,2.751263716000636350e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.094231458715679617e-01,1.226145791122270207e-01,8.559141284878458711e-01,2.633482276636413211e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.284616136780741324e-01,1.383593057586101627e-01,8.335806762408806136e-01,2.515700837272190959e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.475000814845803032e-01,1.535049638223416613e-01,7.913817657735462419e-01,2.397919397907967820e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.665385492910865017e-01,1.677364626025370231e-01,7.285847462489891679e-01,2.280137958543745569e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.855770170975926447e-01,1.807369469629572512e-01,6.444507541128119410e-01,2.149465124040672581e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.046154849040988433e-01,1.914669859911170002e-01,5.362597059543217082e-01,1.773855781991619196e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.236539527106050418e-01,1.991986905504095628e-01,4.044286569332929404e-01,1.398246439942565811e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.426924205171111848e-01,2.038808201331765435e-01,2.522180866052209369e-01,1.022637097893513536e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.617308883236173833e-01,2.054621342317596577e-01,8.288847452560015039e-02,6.470277558444601507e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.807693561301235263e-01,2.038913923385005378e-01,-1.002996997500734400e-01,2.714184137954078757e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.998078239366297248e-01,1.991173539457407604e-01,-2.940859566663055480e-01,-1.041909282536455095e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.188462917431359234e-01,1.910887785458220134e-01,-4.952098166676006663e-01,-4.798002703026988947e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.378847595496420664e-01,1.797544256310859290e-01,-7.004108001984630238e-01,-8.554096123517513917e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.569232273561482649e-01,1.650630546938741117e-01,-9.064284277033984871e-01,-1.231018954400804777e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.759616951626544634e-01,1.469634252265282492e-01,-1.110002219626911479e+00,-1.606628296449858162e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.950001629691606064e-01,1.254042967213900295e-01,-1.307871696413506202e+00,-1.982237638498910659e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.140386307756668050e-01,1.003344286708009320e-01,-1.496776378507688854e+00,-2.357846980547963600e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.330770985821730035e-01,7.170258056710265837e-02,-1.673455786353963415e+00,-2.733456322597017429e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.521155663886792020e-01,3.945751190263691033e-02,-1.834649440396834086e+00,-3.109065664646070370e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.711540341951852895e-01,3.559992154865891482e-03,-1.976912571816746844e+00,-3.420000233640135168e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.901925020016914880e-01,-3.448709678713871712e-02,-2.076591766201276723e+00,-3.148861845370548362e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.092309698081976865e-01,-7.317479807800862657e-02,-2.121303327760700519e+00,-2.877723457100961113e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.282694376147038851e-01,-1.118752903074397148e-01,-2.114496851092964924e+00,-2.606585068831374308e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
