des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.420193870504604883e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.455434431191820392e-04,2.908622035077757309e-02,1.163134570583285399e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,5.546817359871509005e-04,5.269816923371886674e-02,8.995333583169724534e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,1.171425191374227039e-03,7.059135177030143038e-02,6.307395457182078946e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,1.937626442634830283e-03,8.257889286693952113e-02,3.581468224909019060e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.793565668209944432e-03,8.853329160438377921e-02,8.315867134367448121e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,3.678548273245623411e-03,8.838715752652843982e-02,-1.928101486302114809e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,4.531508530088030826e-03,8.213366569628574587e-02,-4.683322116395491896e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,5.291616345442617074e-03,6.982672680303544932e-02,-7.419907658958723173e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,5.898881767802191534e-03,5.158036559497378160e-02,-1.012371784094194371e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,6.294752546600137361e-03,2.756795347511755215e-02,-1.278081545380583162e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,6.422700690043149294e-03,-1.979223144669157303e-03,-1.537747377395040749e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,6.228793147032067774e-03,-3.677370487773774788e-02,-1.790027480813019434e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,5.662242625979320952e-03,-7.647408807130534614e-02,-2.033616243506891852e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,4.675934206078919200e-03,-1.206876354368046078e-01,-2.267247781608741963e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,3.226924171302612658e-03,-1.689732184741376542e-01,-2.489709255646512354e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,1.276906821545093201e-03,-2.208447768583904625e-01,-2.699841023950552810e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,-1.207354473325461183e-03,-2.757750075604109008e-01,-2.896540599973887353e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,-4.253634575071779320e-03,-3.331993437631178279e-01,-3.078771851116688829e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000022e-01,-7.883895574695513539e-03,-3.925203117760460714e-01,-3.245570201270789656e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,-1.211398075241582918e-02,-4.531121629903580583e-01,-3.396043330395013715e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999922e-01,-1.695335567835080937e-02,-5.143256662826322101e-01,-3.529377781557636595e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,-2.240489854840827660e-02,-5.754931585816051021e-01,-3.644851203593849398e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000100e-01,-2.846474278915288314e-02,-6.359339436074122887e-01,-3.741816139229630078e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e-01,-3.512217235810327631e-02,-6.949594277262940434e-01,-3.819728559220865183e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,-4.235957156175319815e-02,-7.518788824698786621e-01,-3.878137476260679506e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e-01,-5.015243150652783088e-02,-8.060050032855814450e-01,-3.916675945104818091e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e-01,-5.846941112675908825e-02,-8.566592607872972609e-01,-3.935104816813056239e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000266e-01,-6.727245595818244495e-02,-9.031780923182679555e-01,-3.933263264346209098e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.899999999999999800e-01,-7.651697330767107119e-02,-9.449179839004263615e-01,-3.911110363767615894e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
